s_date,s_odo,s_fuel,e_date,e_odo,e_fuel,s_lng,s_lat,e_lng,e_lat,s_gps_odo,e_gps_odo,idle_time,max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,s_can_batt_level,e_can_batt_level,reg_dt,unique_dt,complete_yn,gps_odo_yn
2022-06-23,32692998,5560.016602,2022-06-23,32693068,-1176.468506,-113784.3672,46.69594193,140.2185974,35.17407608,23218980,23242086.87,34.40730286,538.6454468,0,0,0,0,-274.8285217,0,0,0,0,0,0,0,0,0,0,0,2022-06-23,2022-06-23,1,0
2022-06-23,32718686,430.43,2022-06-23,32685802,430.43,139.7387848,32.60952759,140.0801697,28.20099831,23211874,23211770,0,1688.42627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-23,2022-06-23,1,0
2022-06-23,32690862,430.43,2022-06-23,32691022,430.43,140.0549011,37.81357574,134.1256561,38.31537247,23216238,23216994,0,1962.219604,0,0,0,0,-510.3878174,0,0,0,0,0,0,0,0,0,0,0,2022-06-23,2022-06-23,1,0
2022-06-23,32691374,430.43,2022-06-23,32693074,430.43,139.954483,27.0766201,144797.2344,32.664608,23217862,23218802,69.10270691,1396.730957,0,0,0,0,405.7171631,0,0,0,0,0,0,0,0,0,0,0,2022-06-23,2022-06-23,1,0
2022-06-23,32685766,430.43,2022-06-23,32718686,430.43,138.1063232,40.75407791,140.2839355,30.15947914,23235079.87,23235079.87,0,663.664978,0,0,0,0,98.79672241,0,0,0,0,0,0,0,0,0,0,0,2022-06-23,2022-06-23,1,0
2022-06-23,32687318,430.43,2022-06-23,32688988,430.43,142.7526703,23.52683449,141.9302521,19.57710266,23211250,23213902,0,1537.579468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-23,2022-06-23,1,0
2022-06-23,32692934,430.43,2022-06-23,32694208,430.43,142.3358917,35.53773117,140.7393036,35.19630432,23218934,23219878,0,1425.915649,0,0,0,228.7045746,-258.2539673,0,0,0,0,0,0,0,0,0,0,0,2022-06-23,2022-06-23,1,0
2022-06-23,32690982,430.43,2022-06-23,32691830,430.43,139.8935394,36.65304184,140.8810883,25.30220413,23216810,23217886,23.34251595,1619.949707,0,0,0,-115.2228012,-104.3225327,0,0,0,0,0,0,0,0,0,0,0,2022-06-23,2022-06-23,1,0
2022-06-23,32717685,430.43,2022-06-23,32685438,430.43,138.2849426,36.10150146,146.2746429,37.11166,23210866,23211660,0,2729.137939,0,0,0,0,4.004,0,0,0,0,0,0,0,0,0,0,0,2022-06-23,2022-06-23,1,0
2022-06-23,32684850,430.43,2022-06-23,32685298,430.43,140.3586121,38.74093246,142.2319489,33.53237152,23234078.87,23210878,0,775.6150513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-23,2022-06-23,1,0
